model,image_id,fae_method,metric,score
resnet18,ISIC_0012395,gradcam,faithfulness_correlation,0.16601094603538513
resnet18,ISIC_0012395,gradcam,max_sensitivity,1.252305269241333
resnet18,ISIC_0012395,gradcam,relevance_mass_accuracy,0.7772203683853149
resnet18,ISIC_0012395,deep_lift,faithfulness_correlation,0.007948140613734722
resnet18,ISIC_0012395,deep_lift,max_sensitivity,1.290054440498352
resnet18,ISIC_0012395,deep_lift,relevance_mass_accuracy,-1.6886924505233765
resnet18,ISIC_0012395,guided_backprop,faithfulness_correlation,-0.11760641634464264
resnet18,ISIC_0012395,guided_backprop,max_sensitivity,0.9350817799568176
resnet18,ISIC_0012395,guided_backprop,relevance_mass_accuracy,1.7823727130889893
resnet18,ISIC_0012395,lrp,faithfulness_correlation,0.16309936344623566
resnet18,ISIC_0012395,lrp,max_sensitivity,1410.78955078125
resnet18,ISIC_0012395,lrp,relevance_mass_accuracy,0.05076151341199875
resnet18,ISIC_0012395,occlusion,faithfulness_correlation,0.06521402299404144
resnet18,ISIC_0012395,occlusion,max_sensitivity,1.154666543006897
resnet18,ISIC_0012395,occlusion,relevance_mass_accuracy,-8.058371543884277
squeezenet,ISIC_0012395,integrated_gradients,faithfulness_correlation,-0.2452298253774643
squeezenet,ISIC_0012395,integrated_gradients,max_sensitivity,1.250847578048706
squeezenet,ISIC_0012395,integrated_gradients,relevance_mass_accuracy,2.5380709171295166
squeezenet,ISIC_0012395,saliency,faithfulness_correlation,0.1836286038160324
squeezenet,ISIC_0012395,saliency,max_sensitivity,0.8997912406921387
squeezenet,ISIC_0012395,saliency,relevance_mass_accuracy,0.31363728642463684
squeezenet,ISIC_0012395,gradcam,faithfulness_correlation,0.27057772874832153
squeezenet,ISIC_0012395,gradcam,max_sensitivity,0.6115439534187317
squeezenet,ISIC_0012395,gradcam,relevance_mass_accuracy,0.9008938670158386
squeezenet,ISIC_0012395,deep_lift,faithfulness_correlation,-0.0684698149561882
squeezenet,ISIC_0012395,deep_lift,max_sensitivity,1.3281030654907227
squeezenet,ISIC_0012395,deep_lift,relevance_mass_accuracy,20.559913635253906
squeezenet,ISIC_0012395,guided_backprop,faithfulness_correlation,0.13488233089447021
squeezenet,ISIC_0012395,guided_backprop,max_sensitivity,1.0820868015289307
squeezenet,ISIC_0012395,guided_backprop,relevance_mass_accuracy,-100.10066223144531
squeezenet,ISIC_0012395,lrp,faithfulness_correlation,0.043705012649297714
squeezenet,ISIC_0012395,lrp,max_sensitivity,1.2356905937194824
squeezenet,ISIC_0012395,lrp,relevance_mass_accuracy,3.2149388790130615
squeezenet,ISIC_0012395,occlusion,faithfulness_correlation,0.15595820546150208
squeezenet,ISIC_0012395,occlusion,max_sensitivity,1.4305391311645508
squeezenet,ISIC_0012395,occlusion,relevance_mass_accuracy,0.5464105606079102
resnet18,ISIC_0012425,integrated_gradients,faithfulness_correlation,-0.11445342004299164
resnet18,ISIC_0012425,integrated_gradients,max_sensitivity,1.2418798208236694
resnet18,ISIC_0012425,integrated_gradients,relevance_mass_accuracy,-13.736034393310547
resnet18,ISIC_0012425,saliency,faithfulness_correlation,-0.09680300205945969
resnet18,ISIC_0012425,saliency,max_sensitivity,0.8394099473953247
resnet18,ISIC_0012425,saliency,relevance_mass_accuracy,0.032538242638111115
resnet18,ISIC_0012425,gradcam,faithfulness_correlation,-0.14399567246437073
resnet18,ISIC_0012425,gradcam,max_sensitivity,0.661601722240448
resnet18,ISIC_0012425,gradcam,relevance_mass_accuracy,0.059298865497112274
resnet18,ISIC_0012425,deep_lift,faithfulness_correlation,-0.012337835505604744
resnet18,ISIC_0012425,deep_lift,max_sensitivity,1.2052333354949951
resnet18,ISIC_0012425,deep_lift,relevance_mass_accuracy,-25.955480575561523
