model,image_id,fae_method,metric,score,error
squeezenet,ISIC_0012258,lrp,pixel_flipping,61.77790069580078,
squeezenet,ISIC_0012258,lrp,max_sensitivity,1.3688807487487793,
squeezenet,ISIC_0012258,lrp,avg_sensitivity,1.3160552382469177,
squeezenet,ISIC_0012258,lrp,relevance_mass_accuracy,-2.2261219024658203,
squeezenet,ISIC_0012258,lrp,pointing_game,1.0,
squeezenet,ISIC_0012258,lrp,sparseness,0.6035981935247067,
squeezenet,ISIC_0012258,lrp,complexity,11.262317657470703,
squeezenet,ISIC_0012258,lrp,model_parameter_randomisation,,nan
squeezenet,ISIC_0012258,lrp,random_logit,0.504282870966135,
squeezenet,ISIC_0012258,lrp,completeness,0.0,
squeezenet,ISIC_0012258,lrp,non_sensitivity,,nan
squeezenet,ISIC_0012258,occlusion,faithfulness_correlation,0.20634151995182037,
squeezenet,ISIC_0012258,occlusion,pixel_flipping,80.05801391601562,
squeezenet,ISIC_0012258,occlusion,max_sensitivity,0.7368327975273132,
squeezenet,ISIC_0012258,occlusion,avg_sensitivity,0.6647456526756287,
squeezenet,ISIC_0012258,occlusion,relevance_mass_accuracy,0.2655167281627655,
squeezenet,ISIC_0012258,occlusion,pointing_game,0.0,
squeezenet,ISIC_0012258,occlusion,sparseness,0.431881508808393,
squeezenet,ISIC_0012258,occlusion,complexity,11.615026473999023,
squeezenet,ISIC_0012258,occlusion,model_parameter_randomisation,,nan
squeezenet,ISIC_0012258,occlusion,random_logit,0.3442103957714364,
squeezenet,ISIC_0012258,occlusion,completeness,,nan
squeezenet,ISIC_0012258,occlusion,non_sensitivity,,nan
resnet18,ISIC_0012356,integrated_gradients,faithfulness_correlation,0.05667324364185333,
resnet18,ISIC_0012356,integrated_gradients,pixel_flipping,27.691848754882812,
resnet18,ISIC_0012356,integrated_gradients,max_sensitivity,1.350897192955017,
resnet18,ISIC_0012356,integrated_gradients,avg_sensitivity,1.321518075466156,
resnet18,ISIC_0012356,integrated_gradients,relevance_mass_accuracy,0.0008087031310424209,
resnet18,ISIC_0012356,integrated_gradients,pointing_game,0.0,
resnet18,ISIC_0012356,integrated_gradients,sparseness,0.6010353721019157,
resnet18,ISIC_0012356,integrated_gradients,complexity,11.283203125,
resnet18,ISIC_0012356,integrated_gradients,model_parameter_randomisation,,nan
resnet18,ISIC_0012356,integrated_gradients,random_logit,0.538140163501064,
resnet18,ISIC_0012356,integrated_gradients,completeness,0.0,
resnet18,ISIC_0012356,integrated_gradients,non_sensitivity,,nan
resnet18,ISIC_0012356,saliency,faithfulness_correlation,0.10040168464183807,
resnet18,ISIC_0012356,saliency,pixel_flipping,56.63031005859375,
resnet18,ISIC_0012356,saliency,max_sensitivity,0.8567548990249634,
resnet18,ISIC_0012356,saliency,avg_sensitivity,0.83014035820961,
resnet18,ISIC_0012356,saliency,relevance_mass_accuracy,0.5287092924118042,
resnet18,ISIC_0012356,saliency,pointing_game,1.0,
resnet18,ISIC_0012356,saliency,sparseness,0.4855013089381906,
resnet18,ISIC_0012356,saliency,complexity,11.519529342651367,
resnet18,ISIC_0012356,saliency,model_parameter_randomisation,,nan
resnet18,ISIC_0012356,saliency,random_logit,0.4109755730486148,
resnet18,ISIC_0012356,saliency,completeness,,nan
resnet18,ISIC_0012356,saliency,non_sensitivity,,nan
resnet18,ISIC_0012356,gradcam,faithfulness_correlation,-0.02136419340968132,
resnet18,ISIC_0012356,gradcam,pixel_flipping,135.3319091796875,
resnet18,ISIC_0012356,gradcam,max_sensitivity,1.1253780126571655,
resnet18,ISIC_0012356,gradcam,avg_sensitivity,0.832626485824585,
resnet18,ISIC_0012356,gradcam,relevance_mass_accuracy,0.47255876660346985,
resnet18,ISIC_0012356,gradcam,pointing_game,1.0,
resnet18,ISIC_0012356,gradcam,sparseness,0.4194225047307774,
resnet18,ISIC_0012356,gradcam,complexity,11.61507511138916,
resnet18,ISIC_0012356,gradcam,model_parameter_randomisation,,nan
resnet18,ISIC_0012356,gradcam,random_logit,0.6794927697408906,
resnet18,ISIC_0012356,gradcam,completeness,,nan
resnet18,ISIC_0012356,gradcam,non_sensitivity,,nan
resnet18,ISIC_0012356,deep_lift,faithfulness_correlation,0.18391303718090057,
resnet18,ISIC_0012356,deep_lift,pixel_flipping,20.64412498474121,
resnet18,ISIC_0012356,deep_lift,max_sensitivity,1.1406142711639404,
resnet18,ISIC_0012356,deep_lift,avg_sensitivity,1.128239059448242,
resnet18,ISIC_0012356,deep_lift,relevance_mass_accuracy,0.04614764451980591,
resnet18,ISIC_0012356,deep_lift,pointing_game,0.0,
resnet18,ISIC_0012356,deep_lift,sparseness,0.6130684518666133,
resnet18,ISIC_0012356,deep_lift,complexity,11.24687671661377,
resnet18,ISIC_0012356,deep_lift,model_parameter_randomisation,,nan
resnet18,ISIC_0012356,deep_lift,random_logit,0.7342886519999083,
resnet18,ISIC_0012356,deep_lift,completeness,0.0,
resnet18,ISIC_0012356,deep_lift,non_sensitivity,,nan
resnet18,ISIC_0012356,guided_backprop,faithfulness_correlation,0.15174417197704315,
resnet18,ISIC_0012356,guided_backprop,pixel_flipping,28.84609603881836,
resnet18,ISIC_0012356,guided_backprop,max_sensitivity,0.8061365485191345,
resnet18,ISIC_0012356,guided_backprop,avg_sensitivity,0.8056059122085572,
resnet18,ISIC_0012356,guided_backprop,relevance_mass_accuracy,-49.14670944213867,
resnet18,ISIC_0012356,guided_backprop,pointing_game,0.0,
resnet18,ISIC_0012356,guided_backprop,sparseness,0.6999963769886216,
resnet18,ISIC_0012356,guided_backprop,complexity,10.842267990112305,
resnet18,ISIC_0012356,guided_backprop,model_parameter_randomisation,,nan
resnet18,ISIC_0012356,guided_backprop,random_logit,0.9925233310703309,
resnet18,ISIC_0012356,guided_backprop,completeness,,nan
resnet18,ISIC_0012356,guided_backprop,non_sensitivity,,nan
resnet18,ISIC_0012356,lrp,faithfulness_correlation,-0.043275900185108185,
resnet18,ISIC_0012356,lrp,pixel_flipping,80.8676528930664,
resnet18,ISIC_0012356,lrp,max_sensitivity,522.5750122070312,
