model,image_id,eff_ensemble,eff_individual_mean,eff_individual_best,eff_best_fixed,eff_best_fixed_gradient,best_fixed_method,best_fixed_gradient_method
resnet18,ISIC_0014940,-0.11772054964663513,-0.06433255259151142,0.30173460109716416,0.2768652491442816,0.30173460109716416,occlusion,gradcam
resnet18,ISIC_0014941,-0.0914712126270986,-0.07627736228715247,0.15754755617683308,0.15754755617683308,0.08942766583598503,occlusion,gradcam
resnet18,ISIC_0014942,-0.12000117602331736,-0.019586953648791157,0.17566813936241282,0.031822609937368754,0.17566813936241282,occlusion,gradcam
resnet18,ISIC_0014943,0.0346961223077774,0.009255438633533671,0.19479184651096534,-0.025612220886867383,-0.04989045236956825,occlusion,gradcam
resnet18,ISIC_0014944,-0.02903353572219539,0.06177305193650421,0.32774330971964266,0.029138435962876876,0.32774330971964266,occlusion,gradcam
resnet18,ISIC_0014947,0.013739767771976765,0.047196746888203085,0.2983957110596955,0.12173631938176054,0.28617547758747375,occlusion,gradcam
resnet18,ISIC_0014948,0.37315121332008283,0.159190172311305,0.44742878483185144,0.44742878483185144,0.13170422457712028,occlusion,gradcam
resnet18,ISIC_0014949,-0.24481573052364558,-0.06506303989534266,0.14521145670146346,0.14521145670146346,-0.01692731608583666,occlusion,gradcam
resnet18,ISIC_0014952,-0.16802489625535813,-0.01992762484095987,0.505818099670071,0.505818099670071,0.2264893094913892,occlusion,gradcam
resnet18,ISIC_0014955,0.01164977185091379,0.13871785510823212,0.3950369565235909,0.3950369565235909,0.14872340992559316,occlusion,gradcam
resnet18,ISIC_0014956,-0.1738906481373772,-0.04614954518533537,0.3167024157356149,0.3167024157356149,0.1289822643459171,occlusion,gradcam
resnet18,ISIC_0014957,-0.09991225527679737,-1.2712684469208053,0.3161232535522452,0.3161232535522452,0.14651884709717672,occlusion,gradcam
resnet18,ISIC_0014958,0.4058627889986379,0.24363693141244694,0.3906743722448657,0.3906743722448657,0.38300208652594936,occlusion,gradcam
resnet18,ISIC_0014959,-0.034698083441860254,-0.062103942781304884,0.13595453114650274,0.08299006177959219,0.009180708727480637,occlusion,gradcam
resnet18,ISIC_0014961,0.2775467943003371,0.12673333146683705,0.22261142271390338,0.1826373600508276,0.19894171725346887,occlusion,gradcam
